production_id,date,year,month,month_name,quarter,category,planned_qty,actual_qty,wastage_qty,net_produced_qty,raw_milk_used_l,production_efficiency_pct,wastage_rate_pct,shift,batch_number,day_of_week,financial_year,efficiency_band,data_quality_flag
PR000040,2023-04-07,2023,4,April,Q2,Ghee,81,74,2,72,1480.0,91.36,2.7,Morning,BATCH-20230407-GHE,Friday,FY2023-24,Fair (90-95%),OK
PR000041,2023-04-07,2023,4,April,Q2,Butter,80,77,1,76,1694.0,96.25,1.3,Evening,BATCH-20230407-BUT,Friday,FY2023-24,Good (95-100%),OK
PR000042,2023-04-07,2023,4,April,Q2,Cream,42,41,1,40,246.0,97.62,2.44,Morning,BATCH-20230407-CRE,Friday,FY2023-24,Good (95-100%),OK
PR000043,2023-04-08,2023,4,April,Q2,Milk Bulk,1200,1184,12,1172,1243.2,98.67,1.01,Morning,BATCH-20230408-MIL,Saturday,FY2023-24,Good (95-100%),OK
PR000044,2023-04-08,2023,4,April,Q2,Milk Packet,2371,2338,49,2289,2525.0,98.61,2.1,Morning,BATCH-20230408-MIL,Saturday,FY2023-24,Good (95-100%),OK
PR000045,2023-04-08,2023,4,April,Q2,Paneer,145,130,3,127,1105.0,89.66,2.31,Morning,BATCH-20230408-PAN,Saturday,FY2023-24,Poor (85-90%),OK
PR000046,2023-04-08,2023,4,April,Q2,Curd,312,299,10,289,328.9,95.83,3.34,Evening,BATCH-20230408-CUR,Saturday,FY2023-24,Good (95-100%),OK
PR000047,2023-04-08,2023,4,April,Q2,Ghee,66,60,2,58,1200.0,90.91,3.33,Morning,BATCH-20230408-GHE,Saturday,FY2023-24,Fair (90-95%),OK
PR000048,2023-04-08,2023,4,April,Q2,Butter,77,67,1,66,1474.0,87.01,1.49,Morning,BATCH-20230408-BUT,Saturday,FY2023-24,Poor (85-90%),OK
PR000049,2023-04-08,2023,4,April,Q2,Cream,37,33,1,32,198.0,89.19,3.03,Morning,BATCH-20230408-CRE,Saturday,FY2023-24,Poor (85-90%),OK
PR000050,2023-04-10,2023,4,April,Q2,Milk Bulk,927,817,12,805,857.9,88.13,1.47,Morning,BATCH-20230410-MIL,Monday,FY2023-24,Poor (85-90%),OK
PR000051,2023-04-10,2023,4,April,Q2,Milk Packet,2436,2229,85,2144,2407.3,91.5,3.81,Evening,BATCH-20230410-MIL,Monday,FY2023-24,Fair (90-95%),OK
PR000052,2023-04-10,2023,4,April,Q2,Paneer,114,102,1,101,867.0,89.47,0.98,Evening,BATCH-20230410-PAN,Monday,FY2023-24,Poor (85-90%),OK
PR000053,2023-04-10,2023,4,April,Q2,Curd,294,272,3,269,299.2,92.52,1.1,Evening,BATCH-20230410-CUR,Monday,FY2023-24,Fair (90-95%),OK
PR000054,2023-04-10,2023,4,April,Q2,Ghee,67,62,0,62,1240.0,92.54,0.0,Morning,BATCH-20230410-GHE,Monday,FY2023-24,Fair (90-95%),OK
PR000055,2023-04-10,2023,4,April,Q2,Butter,91,81,2,79,1782.0,89.01,2.47,Evening,BATCH-20230410-BUT,Monday,FY2023-24,Poor (85-90%),OK
PR000056,2023-04-10,2023,4,April,Q2,Cream,40,36,1,35,216.0,90.0,2.78,Morning,BATCH-20230410-CRE,Monday,FY2023-24,Poor (85-90%),OK
PR000057,2023-04-11,2023,4,April,Q2,Milk Bulk,859,762,8,754,800.1,88.71,1.05,Evening,BATCH-20230411-MIL,Tuesday,FY2023-24,Poor (85-90%),OK
PR000058,2023-04-11,2023,4,April,Q2,Milk Packet,2520,2228,78,2150,2406.2,88.41,3.5,Evening,BATCH-20230411-MIL,Tuesday,FY2023-24,Poor (85-90%),OK
PR000059,2023-04-11,2023,4,April,Q2,Paneer,105,97,3,94,824.5,92.38,3.09,Morning,BATCH-20230411-PAN,Tuesday,FY2023-24,Fair (90-95%),OK
PR000060,2023-04-11,2023,4,April,Q2,Curd,337,332,9,323,365.2,98.52,2.71,Morning,BATCH-20230411-CUR,Tuesday,FY2023-24,Good (95-100%),OK
PR000061,2023-04-11,2023,4,April,Q2,Ghee,47,45,0,45,900.0,95.74,0.0,Evening,BATCH-20230411-GHE,Tuesday,FY2023-24,Good (95-100%),OK
PR000062,2023-04-11,2023,4,April,Q2,Butter,80,77,1,76,1694.0,96.25,1.3,Evening,BATCH-20230411-BUT,Tuesday,FY2023-24,Good (95-100%),OK
PR000063,2023-04-11,2023,4,April,Q2,Cream,54,51,1,50,306.0,94.44,1.96,Morning,BATCH-20230411-CRE,Tuesday,FY2023-24,Fair (90-95%),OK
PR000064,2023-04-12,2023,4,April,Q2,Milk Bulk,1169,1036,29,1007,1087.8,88.62,2.8,Morning,BATCH-20230412-MIL,Wednesday,FY2023-24,Poor (85-90%),OK
PR000065,2023-04-12,2023,4,April,Q2,Milk Packet,1956,1743,46,1697,1882.4,89.11,2.64,Morning,BATCH-20230412-MIL,Wednesday,FY2023-24,Poor (85-90%),OK
PR000066,2023-04-12,2023,4,April,Q2,Paneer,129,114,2,112,969.0,88.37,1.75,Evening,BATCH-20230412-PAN,Wednesday,FY2023-24,Poor (85-90%),OK
PR000067,2023-04-12,2023,4,April,Q2,Curd,396,373,8,365,410.3,94.19,2.14,Morning,BATCH-20230412-CUR,Wednesday,FY2023-24,Fair (90-95%),OK
PR000068,2023-04-12,2023,4,April,Q2,Ghee,68,64,1,63,1280.0,94.12,1.56,Evening,BATCH-20230412-GHE,Wednesday,FY2023-24,Fair (90-95%),OK
PR000069,2023-04-12,2023,4,April,Q2,Butter,90,86,2,84,1892.0,95.56,2.33,Morning,BATCH-20230412-BUT,Wednesday,FY2023-24,Good (95-100%),OK
PR000070,2023-04-12,2023,4,April,Q2,Cream,51,45,0,45,270.0,88.24,0.0,Evening,BATCH-20230412-CRE,Wednesday,FY2023-24,Poor (85-90%),OK
PR000071,2023-04-13,2023,4,April,Q2,Milk Bulk,1063,959,26,933,1007.0,90.22,2.71,Evening,BATCH-20230413-MIL,Thursday,FY2023-24,Fair (90-95%),OK
PR000072,2023-04-13,2023,4,April,Q2,Milk Packet,1630,1566,25,1541,1691.3,96.07,1.6,Evening,BATCH-20230413-MIL,Thursday,FY2023-24,Good (95-100%),OK
PR000073,2023-04-13,2023,4,April,Q2,Paneer,120,117,4,113,994.5,97.5,3.42,Evening,BATCH-20230413-PAN,Thursday,FY2023-24,Good (95-100%),OK
PR000074,2023-04-13,2023,4,April,Q2,Curd,320,290,7,283,319.0,90.62,2.41,Evening,BATCH-20230413-CUR,Thursday,FY2023-24,Fair (90-95%),OK
PR000075,2023-04-13,2023,4,April,Q2,Ghee,77,69,1,68,1380.0,89.61,1.45,Morning,BATCH-20230413-GHE,Thursday,FY2023-24,Poor (85-90%),OK
PR000076,2023-04-13,2023,4,April,Q2,Butter,91,86,0,86,1892.0,94.51,0.0,Morning,BATCH-20230413-BUT,Thursday,FY2023-24,Fair (90-95%),OK
PR000077,2023-04-13,2023,4,April,Q2,Cream,54,48,1,47,288.0,88.89,2.08,Morning,BATCH-20230413-CRE,Thursday,FY2023-24,Poor (85-90%),OK
PR000078,2023-04-14,2023,4,April,Q2,Milk Bulk,1123,1047,22,1025,1099.4,93.23,2.1,Morning,BATCH-20230414-MIL,Friday,FY2023-24,Fair (90-95%),OK
PR000079,2023-04-14,2023,4,April,Q2,Milk Packet,1725,1684,66,1618,1818.7,97.62,3.92,Evening,BATCH-20230414-MIL,Friday,FY2023-24,Good (95-100%),OK
PR000080,2023-04-14,2023,4,April,Q2,Paneer,111,100,1,99,850.0,90.09,1.0,Evening,BATCH-20230414-PAN,Friday,FY2023-24,Fair (90-95%),OK
PR000081,2023-04-14,2023,4,April,Q2,Curd,245,232,8,224,255.2,94.69,3.45,Morning,BATCH-20230414-CUR,Friday,FY2023-24,Fair (90-95%),OK
PR000082,2023-04-14,2023,4,April,Q2,Ghee,56,53,1,52,1060.0,94.64,1.89,Morning,BATCH-20230414-GHE,Friday,FY2023-24,Fair (90-95%),OK
PR000083,2023-04-14,2023,4,April,Q2,Butter,67,64,1,63,1408.0,95.52,1.56,Evening,BATCH-20230414-BUT,Friday,FY2023-24,Good (95-100%),OK
PR000084,2023-04-14,2023,4,April,Q2,Cream,49,47,1,46,282.0,95.92,2.13,Morning,BATCH-20230414-CRE,Friday,FY2023-24,Good (95-100%),OK
PR000085,2023-04-15,2023,4,April,Q2,Milk Bulk,1060,1023,37,986,1074.2,96.51,3.62,Morning,BATCH-20230415-MIL,Saturday,FY2023-24,Good (95-100%),OK
PR000086,2023-04-15,2023,4,April,Q2,Milk Packet,2005,1797,70,1727,1940.8,89.63,3.9,Evening,BATCH-20230415-MIL,Saturday,FY2023-24,Poor (85-90%),OK
PR000087,2023-04-15,2023,4,April,Q2,Paneer,129,117,3,114,994.5,90.7,2.56,Evening,BATCH-20230415-PAN,Saturday,FY2023-24,Fair (90-95%),OK
PR000088,2023-04-15,2023,4,April,Q2,Curd,372,336,11,325,369.6,90.32,3.27,Evening,BATCH-20230415-CUR,Saturday,FY2023-24,Fair (90-95%),OK
PR000089,2023-04-15,2023,4,April,Q2,Ghee,59,55,1,54,1100.0,93.22,1.82,Evening,BATCH-20230415-GHE,Saturday,FY2023-24,Fair (90-95%),OK
PR000090,2023-04-15,2023,4,April,Q2,Butter,79,71,2,69,1562.0,89.87,2.82,Morning,BATCH-20230415-BUT,Saturday,FY2023-24,Poor (85-90%),OK
PR000091,2023-04-15,2023,4,April,Q2,Cream,64,57,0,57,342.0,89.06,0.0,Morning,BATCH-20230415-CRE,Saturday,FY2023-24,Poor (85-90%),OK
PR000092,2023-04-17,2023,4,April,Q2,Milk Bulk,1041,947,37,910,994.4,90.97,3.91,Evening,BATCH-20230417-MIL,Monday,FY2023-24,Fair (90-95%),OK
PR000093,2023-04-17,2023,4,April,Q2,Milk Packet,2318,2264,83,2181,2445.1,97.67,3.67,Morning,BATCH-20230417-MIL,Monday,FY2023-24,Good (95-100%),OK
PR000094,2023-04-17,2023,4,April,Q2,Paneer,103,93,2,91,790.5,90.29,2.15,Morning,BATCH-20230417-PAN,Monday,FY2023-24,Fair (90-95%),OK
PR000095,2023-04-17,2023,4,April,Q2,Curd,295,278,6,272,305.8,94.24,2.16,Morning,BATCH-20230417-CUR,Monday,FY2023-24,Fair (90-95%),OK
PR000096,2023-04-17,2023,4,April,Q2,Ghee,66,58,1,57,1160.0,87.88,1.72,Evening,BATCH-20230417-GHE,Monday,FY2023-24,Poor (85-90%),OK
PR000097,2023-04-17,2023,4,April,Q2,Butter,94,89,2,87,1958.0,94.68,2.25,Morning,BATCH-20230417-BUT,Monday,FY2023-24,Fair (90-95%),OK
PR000098,2023-04-17,2023,4,April,Q2,Cream,45,42,0,42,252.0,93.33,0.0,Morning,BATCH-20230417-CRE,Monday,FY2023-24,Fair (90-95%),OK
PR000099,2023-04-18,2023,4,April,Q2,Milk Bulk,880,828,10,818,869.4,94.09,1.21,Morning,BATCH-20230418-MIL,Tuesday,FY2023-24,Fair (90-95%),OK
PR000100,2023-04-18,2023,4,April,Q2,Milk Packet,1751,1584,30,1554,1710.7,90.46,1.89,Morning,BATCH-20230418-MIL,Tuesday,FY2023-24,Fair (90-95%),OK
PR000101,2023-04-18,2023,4,April,Q2,Paneer,120,106,2,104,901.0,88.33,1.89,Morning,BATCH-20230418-PAN,Tuesday,FY2023-24,Poor (85-90%),OK
PR000102,2023-04-18,2023,4,April,Q2,Curd,233,221,6,215,243.1,94.85,2.71,Morning,BATCH-20230418-CUR,Tuesday,FY2023-24,Fair (90-95%),OK
PR000103,2023-04-18,2023,4,April,Q2,Ghee,67,64,1,63,1280.0,95.52,1.56,Morning,BATCH-20230418-GHE,Tuesday,FY2023-24,Good (95-100%),OK
PR000104,2023-04-18,2023,4,April,Q2,Butter,107,100,3,97,2200.0,93.46,3.0,Evening,BATCH-20230418-BUT,Tuesday,FY2023-24,Fair (90-95%),OK
PR000105,2023-04-18,2023,4,April,Q2,Cream,56,54,1,53,324.0,96.43,1.85,Evening,BATCH-20230418-CRE,Tuesday,FY2023-24,Good (95-100%),OK
PR000106,2023-04-19,2023,4,April,Q2,Milk Bulk,1231,1194,14,1180,1253.7,96.99,1.17,Morning,BATCH-20230419-MIL,Wednesday,FY2023-24,Good (95-100%),OK
PR000107,2023-04-19,2023,4,April,Q2,Milk Packet,1771,1667,63,1604,1800.4,94.13,3.78,Morning,BATCH-20230419-MIL,Wednesday,FY2023-24,Fair (90-95%),OK
PR000108,2023-04-19,2023,4,April,Q2,Paneer,145,133,2,131,1130.5,91.72,1.5,Morning,BATCH-20230419-PAN,Wednesday,FY2023-24,Fair (90-95%),OK
PR000109,2023-04-19,2023,4,April,Q2,Curd,385,379,13,366,416.9,98.44,3.43,Evening,BATCH-20230419-CUR,Wednesday,FY2023-24,Good (95-100%),OK
PR000110,2023-04-19,2023,4,April,Q2,Ghee,56,50,0,50,1000.0,89.29,0.0,Morning,BATCH-20230419-GHE,Wednesday,FY2023-24,Poor (85-90%),OK
PR000111,2023-04-19,2023,4,April,Q2,Butter,107,95,1,94,2090.0,88.79,1.05,Morning,BATCH-20230419-BUT,Wednesday,FY2023-24,Poor (85-90%),OK
PR000112,2023-04-19,2023,4,April,Q2,Cream,31,30,0,30,180.0,96.77,0.0,Evening,BATCH-20230419-CRE,Wednesday,FY2023-24,Good (95-100%),OK
PR000113,2023-04-20,2023,4,April,Q2,Milk Bulk,1213,1175,37,1138,1233.8,96.87,3.15,Evening,BATCH-20230420-MIL,Thursday,FY2023-24,Good (95-100%),OK
PR000114,2023-04-20,2023,4,April,Q2,Milk Packet,1726,1619,51,1568,1748.5,93.8,3.15,Morning,BATCH-20230420-MIL,Thursday,FY2023-24,Fair (90-95%),OK
PR000115,2023-04-20,2023,4,April,Q2,Paneer,151,136,4,132,1156.0,90.07,2.94,Evening,BATCH-20230420-PAN,Thursday,FY2023-24,Fair (90-95%),OK
PR000116,2023-04-20,2023,4,April,Q2,Curd,337,297,11,286,326.7,88.13,3.7,Evening,BATCH-20230420-CUR,Thursday,FY2023-24,Poor (85-90%),OK
PR000117,2023-04-20,2023,4,April,Q2,Ghee,53,51,1,50,1020.0,96.23,1.96,Morning,BATCH-20230420-GHE,Thursday,FY2023-24,Good (95-100%),OK
PR000118,2023-04-20,2023,4,April,Q2,Butter,112,107,2,105,2354.0,95.54,1.87,Morning,BATCH-20230420-BUT,Thursday,FY2023-24,Good (95-100%),OK
PR000119,2023-04-20,2023,4,April,Q2,Cream,32,28,0,28,168.0,87.5,0.0,Morning,BATCH-20230420-CRE,Thursday,FY2023-24,Poor (85-90%),OK
PR000120,2023-04-21,2023,4,April,Q2,Milk Bulk,879,854,27,827,896.7,97.16,3.16,Evening,BATCH-20230421-MIL,Friday,FY2023-24,Good (95-100%),OK
PR000121,2023-04-21,2023,4,April,Q2,Milk Packet,1812,1608,18,1590,1736.6,88.74,1.12,Morning,BATCH-20230421-MIL,Friday,FY2023-24,Poor (85-90%),OK
PR000122,2023-04-21,2023,4,April,Q2,Paneer,95,86,2,84,731.0,90.53,2.33,Morning,BATCH-20230421-PAN,Friday,FY2023-24,Fair (90-95%),OK
PR000123,2023-04-21,2023,4,April,Q2,Curd,389,373,12,361,410.3,95.89,3.22,Morning,BATCH-20230421-CUR,Friday,FY2023-24,Good (95-100%),OK
PR000124,2023-04-21,2023,4,April,Q2,Ghee,54,51,1,50,1020.0,94.44,1.96,Morning,BATCH-20230421-GHE,Friday,FY2023-24,Fair (90-95%),OK
PR000125,2023-04-21,2023,4,April,Q2,Butter,82,78,2,76,1716.0,95.12,2.56,Evening,BATCH-20230421-BUT,Friday,FY2023-24,Good (95-100%),OK
PR000126,2023-04-21,2023,4,April,Q2,Cream,69,62,1,61,372.0,89.86,1.61,Evening,BATCH-20230421-CRE,Friday,FY2023-24,Poor (85-90%),OK
PR000127,2023-04-22,2023,4,April,Q2,Milk Bulk,922,879,16,863,923.0,95.34,1.82,Morning,BATCH-20230422-MIL,Saturday,FY2023-24,Good (95-100%),OK
PR000128,2023-04-22,2023,4,April,Q2,Milk Packet,2041,1886,56,1830,2036.9,92.41,2.97,Evening,BATCH-20230422-MIL,Saturday,FY2023-24,Fair (90-95%),OK
PR000129,2023-04-22,2023,4,April,Q2,Paneer,96,87,3,84,739.5,90.62,3.45,Evening,BATCH-20230422-PAN,Saturday,FY2023-24,Fair (90-95%),OK
PR000130,2023-04-22,2023,4,April,Q2,Curd,265,253,3,250,278.3,95.47,1.19,Evening,BATCH-20230422-CUR,Saturday,FY2023-24,Good (95-100%),OK
PR000131,2023-04-22,2023,4,April,Q2,Ghee,70,66,2,64,1320.0,94.29,3.03,Evening,BATCH-20230422-GHE,Saturday,FY2023-24,Fair (90-95%),OK
PR000132,2023-04-22,2023,4,April,Q2,Butter,79,77,2,75,1694.0,97.47,2.6,Evening,BATCH-20230422-BUT,Saturday,FY2023-24,Good (95-100%),OK
PR000133,2023-04-22,2023,4,April,Q2,Cream,52,47,1,46,282.0,90.38,2.13,Morning,BATCH-20230422-CRE,Saturday,FY2023-24,Fair (90-95%),OK
PR000134,2023-04-24,2023,4,April,Q2,Milk Bulk,1059,1021,32,989,1072.0,96.41,3.13,Evening,BATCH-20230424-MIL,Monday,FY2023-24,Good (95-100%),OK
PR000135,2023-04-24,2023,4,April,Q2,Milk Packet,1962,1890,71,1819,2041.2,96.33,3.76,Evening,BATCH-20230424-MIL,Monday,FY2023-24,Good (95-100%),OK
PR000136,2023-04-24,2023,4,April,Q2,Paneer,110,102,2,100,867.0,92.73,1.96,Morning,BATCH-20230424-PAN,Monday,FY2023-24,Fair (90-95%),OK
PR000137,2023-04-24,2023,4,April,Q2,Curd,353,330,3,327,363.0,93.48,0.91,Morning,BATCH-20230424-CUR,Monday,FY2023-24,Fair (90-95%),OK
PR000138,2023-04-24,2023,4,April,Q2,Ghee,77,69,1,68,1380.0,89.61,1.45,Morning,BATCH-20230424-GHE,Monday,FY2023-24,Poor (85-90%),OK
PR000139,2023-04-24,2023,4,April,Q2,Butter,64,59,1,58,1298.0,92.19,1.69,Evening,BATCH-20230424-BUT,Monday,FY2023-24,Fair (90-95%),OK
PR000140,2023-04-24,2023,4,April,Q2,Cream,37,34,1,33,204.0,91.89,2.94,Morning,BATCH-20230424-CRE,Monday,FY2023-24,Fair (90-95%),OK
PR000141,2023-04-25,2023,4,April,Q2,Milk Bulk,1014,988,18,970,1037.4,97.44,1.82,Evening,BATCH-20230425-MIL,Tuesday,FY2023-24,Good (95-100%),OK
PR000142,2023-04-25,2023,4,April,Q2,Milk Packet,2075,1861,43,1818,2009.9,89.69,2.31,Evening,BATCH-20230425-MIL,Tuesday,FY2023-24,Poor (85-90%),OK
PR000143,2023-04-25,2023,4,April,Q2,Paneer,108,103,1,102,875.5,95.37,0.97,Evening,BATCH-20230425-PAN,Tuesday,FY2023-24,Good (95-100%),OK
PR000144,2023-04-25,2023,4,April,Q2,Curd,333,319,5,314,350.9,95.8,1.57,Morning,BATCH-20230425-CUR,Tuesday,FY2023-24,Good (95-100%),OK
PR000145,2023-04-25,2023,4,April,Q2,Ghee,71,66,1,65,1320.0,92.96,1.52,Morning,BATCH-20230425-GHE,Tuesday,FY2023-24,Fair (90-95%),OK
PR000146,2023-04-25,2023,4,April,Q2,Butter,79,71,1,70,1562.0,89.87,1.41,Morning,BATCH-20230425-BUT,Tuesday,FY2023-24,Poor (85-90%),OK
PR000147,2023-04-25,2023,4,April,Q2,Cream,48,46,0,46,276.0,95.83,0.0,Morning,BATCH-20230425-CRE,Tuesday,FY2023-24,Good (95-100%),OK
PR000148,2023-04-26,2023,4,April,Q2,Milk Bulk,979,877,28,849,920.9,89.58,3.19,Morning,BATCH-20230426-MIL,Wednesday,FY2023-24,Poor (85-90%),OK
PR000149,2023-04-26,2023,4,April,Q2,Milk Packet,2610,2386,80,2306,2576.9,91.42,3.35,Morning,BATCH-20230426-MIL,Wednesday,FY2023-24,Fair (90-95%),OK
PR000150,2023-04-26,2023,4,April,Q2,Paneer,130,123,3,120,1045.5,94.62,2.44,Morning,BATCH-20230426-PAN,Wednesday,FY2023-24,Fair (90-95%),OK
PR000151,2023-04-26,2023,4,April,Q2,Curd,253,229,7,222,251.9,90.51,3.06,Morning,BATCH-20230426-CUR,Wednesday,FY2023-24,Fair (90-95%),OK
PR000152,2023-04-26,2023,4,April,Q2,Ghee,60,53,0,53,1060.0,88.33,0.0,Evening,BATCH-20230426-GHE,Wednesday,FY2023-24,Poor (85-90%),OK
