inventory_id,date,year,month,month_name,quarter,product_id,product_name,category,opening_stock,received_qty,dispatched_qty,closing_stock,reorder_level,stock_status,financial_year,day_of_week,shelf_life_days,days_of_stock,shelf_life_risk
IN000029,2023-04-04,2023,4,April,Q2,P05,Paneer 500g,Paneer,358,238,48,548,30,OK,FY2023-24,Tuesday,7,11.4,Safe
IN000030,2023-04-04,2023,4,April,Q2,P06,Curd 400g,Curd,39,148,187,0,80,Stockout,FY2023-24,Tuesday,5,0.0,At Risk
IN000031,2023-04-04,2023,4,April,Q2,P07,Curd 1kg,Curd,237,87,264,60,80,Low,FY2023-24,Tuesday,5,0.2,At Risk
IN000032,2023-04-04,2023,4,April,Q2,P08,Ghee 500ml,Ghee,107,76,183,0,15,Stockout,FY2023-24,Tuesday,180,0.0,At Risk
IN000033,2023-04-04,2023,4,April,Q2,P09,Ghee 1L,Ghee,225,54,170,109,15,OK,FY2023-24,Tuesday,180,0.6,At Risk
IN000034,2023-04-04,2023,4,April,Q2,P10,Butter 100g,Butter,290,178,276,192,25,OK,FY2023-24,Tuesday,90,0.7,At Risk
IN000035,2023-04-04,2023,4,April,Q2,P11,Butter 500g,Butter,190,201,201,190,25,OK,FY2023-24,Tuesday,90,0.9,At Risk
IN000036,2023-04-04,2023,4,April,Q2,P12,Cream 200ml,Cream,275,236,251,260,12,OK,FY2023-24,Tuesday,10,1.0,At Risk
IN000037,2023-04-05,2023,4,April,Q2,P01,Milk Bulk 1L,Milk Bulk,0,275,230,45,200,Critical,FY2023-24,Wednesday,2,0.2,At Risk
IN000038,2023-04-05,2023,4,April,Q2,P02,Milk Packet 500ml,Milk Packet,289,74,114,249,500,Critical,FY2023-24,Wednesday,3,2.2,At Risk
IN000039,2023-04-05,2023,4,April,Q2,P03,Milk Packet 200ml,Milk Packet,63,225,201,87,500,Critical,FY2023-24,Wednesday,3,0.4,At Risk
IN000040,2023-04-05,2023,4,April,Q2,P04,Paneer 200g,Paneer,81,150,141,90,30,OK,FY2023-24,Wednesday,7,0.6,At Risk
IN000041,2023-04-05,2023,4,April,Q2,P05,Paneer 500g,Paneer,548,155,74,629,30,OK,FY2023-24,Wednesday,7,8.5,Safe
IN000042,2023-04-05,2023,4,April,Q2,P06,Curd 400g,Curd,0,175,166,9,80,Critical,FY2023-24,Wednesday,5,0.1,At Risk
IN000043,2023-04-05,2023,4,April,Q2,P07,Curd 1kg,Curd,60,154,163,51,80,Low,FY2023-24,Wednesday,5,0.3,At Risk
IN000044,2023-04-05,2023,4,April,Q2,P08,Ghee 500ml,Ghee,0,100,100,0,15,Stockout,FY2023-24,Wednesday,180,0.0,At Risk
IN000045,2023-04-05,2023,4,April,Q2,P09,Ghee 1L,Ghee,109,202,40,271,15,OK,FY2023-24,Wednesday,180,6.8,At Risk
IN000046,2023-04-05,2023,4,April,Q2,P10,Butter 100g,Butter,192,55,55,192,25,OK,FY2023-24,Wednesday,90,3.5,At Risk
IN000047,2023-04-05,2023,4,April,Q2,P11,Butter 500g,Butter,190,91,89,192,25,OK,FY2023-24,Wednesday,90,2.2,At Risk
IN000048,2023-04-05,2023,4,April,Q2,P12,Cream 200ml,Cream,260,242,184,318,12,OK,FY2023-24,Wednesday,10,1.7,At Risk
IN000049,2023-04-06,2023,4,April,Q2,P01,Milk Bulk 1L,Milk Bulk,45,293,119,219,200,OK,FY2023-24,Thursday,2,1.8,At Risk
IN000050,2023-04-06,2023,4,April,Q2,P02,Milk Packet 500ml,Milk Packet,249,134,253,130,500,Critical,FY2023-24,Thursday,3,0.5,At Risk
IN000051,2023-04-06,2023,4,April,Q2,P03,Milk Packet 200ml,Milk Packet,87,78,99,66,500,Critical,FY2023-24,Thursday,3,0.7,At Risk
IN000052,2023-04-06,2023,4,April,Q2,P04,Paneer 200g,Paneer,90,126,216,0,30,Stockout,FY2023-24,Thursday,7,0.0,At Risk
IN000053,2023-04-06,2023,4,April,Q2,P05,Paneer 500g,Paneer,629,254,224,659,30,OK,FY2023-24,Thursday,7,2.9,At Risk
IN000054,2023-04-06,2023,4,April,Q2,P06,Curd 400g,Curd,9,141,142,8,80,Critical,FY2023-24,Thursday,5,0.1,At Risk
IN000055,2023-04-06,2023,4,April,Q2,P07,Curd 1kg,Curd,51,185,106,130,80,OK,FY2023-24,Thursday,5,1.2,At Risk
IN000056,2023-04-06,2023,4,April,Q2,P08,Ghee 500ml,Ghee,0,121,121,0,15,Stockout,FY2023-24,Thursday,180,0.0,At Risk
IN000057,2023-04-06,2023,4,April,Q2,P09,Ghee 1L,Ghee,271,282,118,435,15,OK,FY2023-24,Thursday,180,3.7,At Risk
IN000058,2023-04-06,2023,4,April,Q2,P10,Butter 100g,Butter,192,263,47,408,25,OK,FY2023-24,Thursday,90,8.7,At Risk
IN000059,2023-04-06,2023,4,April,Q2,P11,Butter 500g,Butter,192,151,205,138,25,OK,FY2023-24,Thursday,90,0.7,At Risk
IN000060,2023-04-06,2023,4,April,Q2,P12,Cream 200ml,Cream,318,66,143,241,12,OK,FY2023-24,Thursday,10,1.7,At Risk
IN000061,2023-04-07,2023,4,April,Q2,P01,Milk Bulk 1L,Milk Bulk,219,111,236,94,200,Critical,FY2023-24,Friday,2,0.4,At Risk
IN000062,2023-04-07,2023,4,April,Q2,P02,Milk Packet 500ml,Milk Packet,130,260,253,137,500,Critical,FY2023-24,Friday,3,0.5,At Risk
IN000063,2023-04-07,2023,4,April,Q2,P03,Milk Packet 200ml,Milk Packet,66,212,67,211,500,Critical,FY2023-24,Friday,3,3.1,Safe
IN000064,2023-04-07,2023,4,April,Q2,P04,Paneer 200g,Paneer,0,150,61,89,30,OK,FY2023-24,Friday,7,1.5,At Risk
IN000065,2023-04-07,2023,4,April,Q2,P05,Paneer 500g,Paneer,659,212,94,777,30,OK,FY2023-24,Friday,7,8.3,Safe
IN000066,2023-04-07,2023,4,April,Q2,P06,Curd 400g,Curd,8,148,88,68,80,Low,FY2023-24,Friday,5,0.8,At Risk
IN000067,2023-04-07,2023,4,April,Q2,P07,Curd 1kg,Curd,130,268,48,350,80,OK,FY2023-24,Friday,5,7.3,Safe
IN000068,2023-04-07,2023,4,April,Q2,P08,Ghee 500ml,Ghee,0,107,107,0,15,Stockout,FY2023-24,Friday,180,0.0,At Risk
IN000069,2023-04-07,2023,4,April,Q2,P09,Ghee 1L,Ghee,435,211,76,570,15,OK,FY2023-24,Friday,180,7.5,At Risk
IN000070,2023-04-07,2023,4,April,Q2,P10,Butter 100g,Butter,408,225,122,511,25,OK,FY2023-24,Friday,90,4.2,At Risk
IN000071,2023-04-07,2023,4,April,Q2,P11,Butter 500g,Butter,138,86,224,0,25,Stockout,FY2023-24,Friday,90,0.0,At Risk
IN000072,2023-04-07,2023,4,April,Q2,P12,Cream 200ml,Cream,241,180,238,183,12,OK,FY2023-24,Friday,10,0.8,At Risk
IN000073,2023-04-08,2023,4,April,Q2,P01,Milk Bulk 1L,Milk Bulk,94,113,49,158,200,Low,FY2023-24,Saturday,2,3.2,Safe
IN000074,2023-04-08,2023,4,April,Q2,P02,Milk Packet 500ml,Milk Packet,137,170,207,100,500,Critical,FY2023-24,Saturday,3,0.5,At Risk
IN000075,2023-04-08,2023,4,April,Q2,P03,Milk Packet 200ml,Milk Packet,211,221,252,180,500,Critical,FY2023-24,Saturday,3,0.7,At Risk
IN000076,2023-04-08,2023,4,April,Q2,P04,Paneer 200g,Paneer,89,176,86,179,30,OK,FY2023-24,Saturday,7,2.1,At Risk
IN000077,2023-04-08,2023,4,April,Q2,P05,Paneer 500g,Paneer,777,112,242,647,30,OK,FY2023-24,Saturday,7,2.7,At Risk
IN000078,2023-04-08,2023,4,April,Q2,P06,Curd 400g,Curd,68,66,57,77,80,Low,FY2023-24,Saturday,5,1.4,At Risk
IN000079,2023-04-08,2023,4,April,Q2,P07,Curd 1kg,Curd,350,76,171,255,80,OK,FY2023-24,Saturday,5,1.5,At Risk
IN000080,2023-04-08,2023,4,April,Q2,P08,Ghee 500ml,Ghee,0,107,63,44,15,OK,FY2023-24,Saturday,180,0.7,At Risk
IN000081,2023-04-08,2023,4,April,Q2,P09,Ghee 1L,Ghee,570,131,75,626,15,OK,FY2023-24,Saturday,180,8.3,At Risk
IN000082,2023-04-08,2023,4,April,Q2,P10,Butter 100g,Butter,511,52,126,437,25,OK,FY2023-24,Saturday,90,3.5,At Risk
IN000083,2023-04-08,2023,4,April,Q2,P11,Butter 500g,Butter,0,241,118,123,25,OK,FY2023-24,Saturday,90,1.0,At Risk
IN000084,2023-04-08,2023,4,April,Q2,P12,Cream 200ml,Cream,183,216,182,217,12,OK,FY2023-24,Saturday,10,1.2,At Risk
IN000085,2023-04-10,2023,4,April,Q2,P01,Milk Bulk 1L,Milk Bulk,158,292,75,375,200,OK,FY2023-24,Monday,2,5.0,Safe
IN000086,2023-04-10,2023,4,April,Q2,P02,Milk Packet 500ml,Milk Packet,100,272,191,181,500,Critical,FY2023-24,Monday,3,0.9,At Risk
IN000087,2023-04-10,2023,4,April,Q2,P03,Milk Packet 200ml,Milk Packet,180,149,98,231,500,Critical,FY2023-24,Monday,3,2.4,At Risk
IN000088,2023-04-10,2023,4,April,Q2,P04,Paneer 200g,Paneer,179,182,272,89,30,OK,FY2023-24,Monday,7,0.3,At Risk
IN000089,2023-04-10,2023,4,April,Q2,P05,Paneer 500g,Paneer,647,123,240,530,30,OK,FY2023-24,Monday,7,2.2,At Risk
IN000090,2023-04-10,2023,4,April,Q2,P06,Curd 400g,Curd,77,57,134,0,80,Stockout,FY2023-24,Monday,5,0.0,At Risk
IN000091,2023-04-10,2023,4,April,Q2,P07,Curd 1kg,Curd,255,70,176,149,80,OK,FY2023-24,Monday,5,0.8,At Risk
IN000092,2023-04-10,2023,4,April,Q2,P08,Ghee 500ml,Ghee,44,103,147,0,15,Stockout,FY2023-24,Monday,180,0.0,At Risk
IN000093,2023-04-10,2023,4,April,Q2,P09,Ghee 1L,Ghee,626,205,93,738,15,OK,FY2023-24,Monday,180,7.9,At Risk
IN000094,2023-04-10,2023,4,April,Q2,P10,Butter 100g,Butter,437,293,41,689,25,OK,FY2023-24,Monday,90,16.8,At Risk
IN000095,2023-04-10,2023,4,April,Q2,P11,Butter 500g,Butter,123,75,198,0,25,Stockout,FY2023-24,Monday,90,0.0,At Risk
IN000096,2023-04-10,2023,4,April,Q2,P12,Cream 200ml,Cream,217,210,55,372,12,OK,FY2023-24,Monday,10,6.8,At Risk
IN000097,2023-04-11,2023,4,April,Q2,P01,Milk Bulk 1L,Milk Bulk,375,233,90,518,200,OK,FY2023-24,Tuesday,2,5.8,Safe
IN000098,2023-04-11,2023,4,April,Q2,P02,Milk Packet 500ml,Milk Packet,181,169,199,151,500,Critical,FY2023-24,Tuesday,3,0.8,At Risk
IN000099,2023-04-11,2023,4,April,Q2,P03,Milk Packet 200ml,Milk Packet,231,157,245,143,500,Critical,FY2023-24,Tuesday,3,0.6,At Risk
IN000100,2023-04-11,2023,4,April,Q2,P04,Paneer 200g,Paneer,89,148,49,188,30,OK,FY2023-24,Tuesday,7,3.8,At Risk
IN000101,2023-04-11,2023,4,April,Q2,P05,Paneer 500g,Paneer,530,77,168,439,30,OK,FY2023-24,Tuesday,7,2.6,At Risk
IN000102,2023-04-11,2023,4,April,Q2,P06,Curd 400g,Curd,0,196,179,17,80,Critical,FY2023-24,Tuesday,5,0.1,At Risk
IN000103,2023-04-11,2023,4,April,Q2,P07,Curd 1kg,Curd,149,283,179,253,80,OK,FY2023-24,Tuesday,5,1.4,At Risk
IN000104,2023-04-11,2023,4,April,Q2,P08,Ghee 500ml,Ghee,0,103,103,0,15,Stockout,FY2023-24,Tuesday,180,0.0,At Risk
IN000105,2023-04-11,2023,4,April,Q2,P09,Ghee 1L,Ghee,738,196,147,787,15,OK,FY2023-24,Tuesday,180,5.4,At Risk
IN000106,2023-04-11,2023,4,April,Q2,P10,Butter 100g,Butter,689,63,247,505,25,OK,FY2023-24,Tuesday,90,2.0,At Risk
IN000107,2023-04-11,2023,4,April,Q2,P11,Butter 500g,Butter,0,80,80,0,25,Stockout,FY2023-24,Tuesday,90,0.0,At Risk
IN000108,2023-04-11,2023,4,April,Q2,P12,Cream 200ml,Cream,372,208,61,519,12,OK,FY2023-24,Tuesday,10,8.5,At Risk
IN000109,2023-04-12,2023,4,April,Q2,P01,Milk Bulk 1L,Milk Bulk,518,212,73,657,200,OK,FY2023-24,Wednesday,2,9.0,Safe
IN000110,2023-04-12,2023,4,April,Q2,P02,Milk Packet 500ml,Milk Packet,151,84,235,0,500,Stockout,FY2023-24,Wednesday,3,0.0,At Risk
IN000111,2023-04-12,2023,4,April,Q2,P03,Milk Packet 200ml,Milk Packet,143,203,43,303,500,Low,FY2023-24,Wednesday,3,7.0,Safe
IN000112,2023-04-12,2023,4,April,Q2,P04,Paneer 200g,Paneer,188,236,167,257,30,OK,FY2023-24,Wednesday,7,1.5,At Risk
IN000113,2023-04-12,2023,4,April,Q2,P05,Paneer 500g,Paneer,439,298,63,674,30,OK,FY2023-24,Wednesday,7,10.7,Safe
IN000114,2023-04-12,2023,4,April,Q2,P06,Curd 400g,Curd,17,254,101,170,80,OK,FY2023-24,Wednesday,5,1.7,At Risk
IN000115,2023-04-12,2023,4,April,Q2,P07,Curd 1kg,Curd,253,299,127,425,80,OK,FY2023-24,Wednesday,5,3.3,At Risk
IN000116,2023-04-12,2023,4,April,Q2,P08,Ghee 500ml,Ghee,0,289,76,213,15,OK,FY2023-24,Wednesday,180,2.8,At Risk
IN000117,2023-04-12,2023,4,April,Q2,P09,Ghee 1L,Ghee,787,56,203,640,15,OK,FY2023-24,Wednesday,180,3.2,At Risk
IN000118,2023-04-12,2023,4,April,Q2,P10,Butter 100g,Butter,505,92,188,409,25,OK,FY2023-24,Wednesday,90,2.2,At Risk
IN000119,2023-04-12,2023,4,April,Q2,P11,Butter 500g,Butter,0,219,73,146,25,OK,FY2023-24,Wednesday,90,2.0,At Risk
IN000120,2023-04-12,2023,4,April,Q2,P12,Cream 200ml,Cream,519,87,175,431,12,OK,FY2023-24,Wednesday,10,2.5,At Risk
IN000121,2023-04-13,2023,4,April,Q2,P01,Milk Bulk 1L,Milk Bulk,657,201,40,818,200,OK,FY2023-24,Thursday,2,20.4,Safe
IN000122,2023-04-13,2023,4,April,Q2,P02,Milk Packet 500ml,Milk Packet,0,293,124,169,500,Critical,FY2023-24,Thursday,3,1.4,At Risk
IN000123,2023-04-13,2023,4,April,Q2,P03,Milk Packet 200ml,Milk Packet,303,294,60,537,500,OK,FY2023-24,Thursday,3,9.0,Safe
IN000124,2023-04-13,2023,4,April,Q2,P04,Paneer 200g,Paneer,257,115,71,301,30,OK,FY2023-24,Thursday,7,4.2,At Risk
IN000125,2023-04-13,2023,4,April,Q2,P05,Paneer 500g,Paneer,674,293,226,741,30,OK,FY2023-24,Thursday,7,3.3,At Risk
IN000126,2023-04-13,2023,4,April,Q2,P06,Curd 400g,Curd,170,134,105,199,80,OK,FY2023-24,Thursday,5,1.9,At Risk
IN000127,2023-04-13,2023,4,April,Q2,P07,Curd 1kg,Curd,425,113,226,312,80,OK,FY2023-24,Thursday,5,1.4,At Risk
IN000128,2023-04-13,2023,4,April,Q2,P08,Ghee 500ml,Ghee,213,297,210,300,15,OK,FY2023-24,Thursday,180,1.4,At Risk
IN000129,2023-04-13,2023,4,April,Q2,P09,Ghee 1L,Ghee,640,119,151,608,15,OK,FY2023-24,Thursday,180,4.0,At Risk
IN000130,2023-04-13,2023,4,April,Q2,P10,Butter 100g,Butter,409,70,195,284,25,OK,FY2023-24,Thursday,90,1.5,At Risk
IN000131,2023-04-13,2023,4,April,Q2,P11,Butter 500g,Butter,146,283,94,335,25,OK,FY2023-24,Thursday,90,3.6,At Risk
IN000132,2023-04-13,2023,4,April,Q2,P12,Cream 200ml,Cream,431,249,166,514,12,OK,FY2023-24,Thursday,10,3.1,At Risk
IN000133,2023-04-14,2023,4,April,Q2,P01,Milk Bulk 1L,Milk Bulk,818,268,191,895,200,OK,FY2023-24,Friday,2,4.7,Safe
IN000134,2023-04-14,2023,4,April,Q2,P02,Milk Packet 500ml,Milk Packet,169,287,78,378,500,Low,FY2023-24,Friday,3,4.8,Safe
IN000135,2023-04-14,2023,4,April,Q2,P03,Milk Packet 200ml,Milk Packet,537,226,201,562,500,OK,FY2023-24,Friday,3,2.8,At Risk
IN000136,2023-04-14,2023,4,April,Q2,P04,Paneer 200g,Paneer,301,165,254,212,30,OK,FY2023-24,Friday,7,0.8,At Risk
IN000137,2023-04-14,2023,4,April,Q2,P05,Paneer 500g,Paneer,741,121,59,803,30,OK,FY2023-24,Friday,7,13.6,Safe
IN000138,2023-04-14,2023,4,April,Q2,P06,Curd 400g,Curd,199,59,142,116,80,OK,FY2023-24,Friday,5,0.8,At Risk
IN000139,2023-04-14,2023,4,April,Q2,P07,Curd 1kg,Curd,312,127,115,324,80,OK,FY2023-24,Friday,5,2.8,At Risk
IN000140,2023-04-14,2023,4,April,Q2,P08,Ghee 500ml,Ghee,300,78,189,189,15,OK,FY2023-24,Friday,180,1.0,At Risk
IN000141,2023-04-14,2023,4,April,Q2,P09,Ghee 1L,Ghee,608,270,205,673,15,OK,FY2023-24,Friday,180,3.3,At Risk
IN000142,2023-04-14,2023,4,April,Q2,P10,Butter 100g,Butter,284,176,262,198,25,OK,FY2023-24,Friday,90,0.8,At Risk
IN000143,2023-04-14,2023,4,April,Q2,P11,Butter 500g,Butter,335,279,232,382,25,OK,FY2023-24,Friday,90,1.6,At Risk
IN000144,2023-04-14,2023,4,April,Q2,P12,Cream 200ml,Cream,514,174,262,426,12,OK,FY2023-24,Friday,10,1.6,At Risk
IN000145,2023-04-15,2023,4,April,Q2,P01,Milk Bulk 1L,Milk Bulk,895,137,230,802,200,OK,FY2023-24,Saturday,2,3.5,Safe
IN000146,2023-04-15,2023,4,April,Q2,P02,Milk Packet 500ml,Milk Packet,378,54,180,252,500,Low,FY2023-24,Saturday,3,1.4,At Risk
IN000147,2023-04-15,2023,4,April,Q2,P03,Milk Packet 200ml,Milk Packet,562,103,126,539,500,OK,FY2023-24,Saturday,3,4.3,Safe
IN000148,2023-04-15,2023,4,April,Q2,P04,Paneer 200g,Paneer,212,64,48,228,30,OK,FY2023-24,Saturday,7,4.8,At Risk
IN000149,2023-04-15,2023,4,April,Q2,P05,Paneer 500g,Paneer,803,149,57,895,30,OK,FY2023-24,Saturday,7,15.7,Safe
IN000150,2023-04-15,2023,4,April,Q2,P06,Curd 400g,Curd,116,66,182,0,80,Stockout,FY2023-24,Saturday,5,0.0,At Risk
IN000151,2023-04-15,2023,4,April,Q2,P07,Curd 1kg,Curd,324,51,131,244,80,OK,FY2023-24,Saturday,5,1.9,At Risk
IN000152,2023-04-15,2023,4,April,Q2,P08,Ghee 500ml,Ghee,189,284,86,387,15,OK,FY2023-24,Saturday,180,4.5,At Risk
IN000153,2023-04-15,2023,4,April,Q2,P09,Ghee 1L,Ghee,673,265,150,788,15,OK,FY2023-24,Saturday,180,5.3,At Risk
IN000154,2023-04-15,2023,4,April,Q2,P10,Butter 100g,Butter,198,263,174,287,25,OK,FY2023-24,Saturday,90,1.6,At Risk
IN000155,2023-04-15,2023,4,April,Q2,P11,Butter 500g,Butter,382,290,267,405,25,OK,FY2023-24,Saturday,90,1.5,At Risk
IN000156,2023-04-15,2023,4,April,Q2,P12,Cream 200ml,Cream,426,213,237,402,12,OK,FY2023-24,Saturday,10,1.7,At Risk
IN000157,2023-04-17,2023,4,April,Q2,P01,Milk Bulk 1L,Milk Bulk,802,169,257,714,200,OK,FY2023-24,Monday,2,2.8,Safe
IN000158,2023-04-17,2023,4,April,Q2,P02,Milk Packet 500ml,Milk Packet,252,54,140,166,500,Critical,FY2023-24,Monday,3,1.2,At Risk
IN000159,2023-04-17,2023,4,April,Q2,P03,Milk Packet 200ml,Milk Packet,539,60,77,522,500,OK,FY2023-24,Monday,3,6.8,Safe
IN000160,2023-04-17,2023,4,April,Q2,P04,Paneer 200g,Paneer,228,161,257,132,30,OK,FY2023-24,Monday,7,0.5,At Risk
IN000161,2023-04-17,2023,4,April,Q2,P05,Paneer 500g,Paneer,895,135,158,872,30,OK,FY2023-24,Monday,7,5.5,At Risk
IN000162,2023-04-17,2023,4,April,Q2,P06,Curd 400g,Curd,0,84,84,0,80,Stockout,FY2023-24,Monday,5,0.0,At Risk
IN000163,2023-04-17,2023,4,April,Q2,P07,Curd 1kg,Curd,244,55,213,86,80,OK,FY2023-24,Monday,5,0.4,At Risk
IN000164,2023-04-17,2023,4,April,Q2,P08,Ghee 500ml,Ghee,387,55,131,311,15,OK,FY2023-24,Monday,180,2.4,At Risk
IN000165,2023-04-17,2023,4,April,Q2,P09,Ghee 1L,Ghee,788,92,147,733,15,OK,FY2023-24,Monday,180,5.0,At Risk
IN000166,2023-04-17,2023,4,April,Q2,P10,Butter 100g,Butter,287,81,90,278,25,OK,FY2023-24,Monday,90,3.1,At Risk
IN000167,2023-04-17,2023,4,April,Q2,P11,Butter 500g,Butter,405,156,177,384,25,OK,FY2023-24,Monday,90,2.2,At Risk
IN000168,2023-04-17,2023,4,April,Q2,P12,Cream 200ml,Cream,402,150,182,370,12,OK,FY2023-24,Monday,10,2.0,At Risk
IN000169,2023-04-18,2023,4,April,Q2,P01,Milk Bulk 1L,Milk Bulk,714,160,245,629,200,OK,FY2023-24,Tuesday,2,2.6,Safe
IN000170,2023-04-18,2023,4,April,Q2,P02,Milk Packet 500ml,Milk Packet,166,254,80,340,500,Low,FY2023-24,Tuesday,3,4.2,Safe
IN000171,2023-04-18,2023,4,April,Q2,P03,Milk Packet 200ml,Milk Packet,522,206,108,620,500,OK,FY2023-24,Tuesday,3,5.7,Safe
IN000172,2023-04-18,2023,4,April,Q2,P04,Paneer 200g,Paneer,132,217,175,174,30,OK,FY2023-24,Tuesday,7,1.0,At Risk
IN000173,2023-04-18,2023,4,April,Q2,P05,Paneer 500g,Paneer,872,205,211,866,30,OK,FY2023-24,Tuesday,7,4.1,At Risk
IN000174,2023-04-18,2023,4,April,Q2,P06,Curd 400g,Curd,0,143,143,0,80,Stockout,FY2023-24,Tuesday,5,0.0,At Risk
IN000175,2023-04-18,2023,4,April,Q2,P07,Curd 1kg,Curd,86,166,93,159,80,OK,FY2023-24,Tuesday,5,1.7,At Risk
IN000176,2023-04-18,2023,4,April,Q2,P08,Ghee 500ml,Ghee,311,273,170,414,15,OK,FY2023-24,Tuesday,180,2.4,At Risk
IN000177,2023-04-18,2023,4,April,Q2,P09,Ghee 1L,Ghee,733,89,221,601,15,OK,FY2023-24,Tuesday,180,2.7,At Risk
IN000178,2023-04-18,2023,4,April,Q2,P10,Butter 100g,Butter,278,230,253,255,25,OK,FY2023-24,Tuesday,90,1.0,At Risk
IN000179,2023-04-18,2023,4,April,Q2,P11,Butter 500g,Butter,384,262,148,498,25,OK,FY2023-24,Tuesday,90,3.4,At Risk
IN000180,2023-04-18,2023,4,April,Q2,P12,Cream 200ml,Cream,370,206,43,533,12,OK,FY2023-24,Tuesday,10,12.4,Safe
IN000181,2023-04-19,2023,4,April,Q2,P01,Milk Bulk 1L,Milk Bulk,629,99,103,625,200,OK,FY2023-24,Wednesday,2,6.1,Safe
